2020-08-03 11:03:00+05:30,102.5,61792,14
2020-08-03 11:04:00+05:30,102.5,17009,14
2020-08-03 11:05:00+05:30,102.25,21769,14
2020-08-03 11:06:00+05:30,102.25,2546,14
2020-08-03 11:07:00+05:30,102.3,12181,14
2020-08-03 11:08:00+05:30,102.3,12738,14
2020-08-03 11:09:00+05:30,102.15,4505,14
2020-08-03 11:10:00+05:30,102.15,6136,14
2020-08-03 11:11:00+05:30,102.2,14334,14
2020-08-03 11:12:00+05:30,102.2,5694,14
2020-08-03 11:13:00+05:30,102.1,1465,14
2020-08-03 11:14:00+05:30,102.1,4570,14
2020-08-03 11:15:00+05:30,102.1,5809,14
2020-08-03 11:16:00+05:30,102.05,2782,14
2020-08-03 11:17:00+05:30,102.2,4895,14
2020-08-03 11:18:00+05:30,102.1,3206,14
2020-08-03 11:19:00+05:30,102.2,15943,14
2020-08-03 11:20:00+05:30,102,31237,14
2020-08-03 11:21:00+05:30,101.95,15042,14
2020-08-03 11:22:00+05:30,101.9,1493,14
2020-08-03 11:23:00+05:30,101.95,3830,14
2020-08-03 11:24:00+05:30,102.05,8754,14
2020-08-03 11:25:00+05:30,102,31030,14
2020-08-03 11:26:00+05:30,102,10373,14
2020-08-03 11:27:00+05:30,101.8,15437,14
2020-08-03 11:28:00+05:30,101.75,5537,14
2020-08-03 11:29:00+05:30,102.05,12054,14
2020-08-03 11:30:00+05:30,102.1,2289,14
2020-08-03 11:31:00+05:30,101.85,34285,14
2020-08-03 11:32:00+05:30,101.8,3062,14
2020-08-03 11:33:00+05:30,101.75,5511,14
2020-08-03 11:34:00+05:30,101.8,8604,14
2020-08-03 11:35:00+05:30,101.8,5989,14
2020-08-03 11:36:00+05:30,101.85,3629,14
2020-08-03 11:37:00+05:30,101.9,1813,14
2020-08-03 11:38:00+05:30,101.85,1357,14
2020-08-03 11:39:00+05:30,101.8,1996,14
2020-08-03 11:40:00+05:30,101.8,4039,14
2020-08-03 11:41:00+05:30,101.7,16366,14
